,City,City ID,Country,Latitude,Longitude,Date,Temperature (°F),Max Temperature (°F),Min Temperature (°F),Cloudiness,Humidity,Wind Speed
133,Astana,1526273,KZ,51.18,71.45,1579585169,21.2,21.2,267.15,90,85,7.0
134,Lensk,2020838,RU,60.73,114.93,1579585378,-5.1879999999999455,-5.1879999999999455,252.49,94,89,4.43
135,Bambous Virieux,1106677,MU,-20.34,57.76,1579585378,83.66000000000008,84.2,301.48,75,79,0.5
136,Tura,1254046,IN,25.52,90.22,1579585378,73.67000000000007,73.67000000000007,296.3,2,38,1.99
137,Pevek,2122090,RU,69.7,170.31,1579585092,-16.00599999999998,-16.00599999999998,246.48,100,97,4.01
138,Lorengau,2092164,PG,-2.02,147.27,1579585379,83.174,83.174,301.58,75,79,6.95
139,Port Lincoln,2063036,AU,-34.73,135.87,1579585379,72.608,72.608,295.71,0,50,4.09
140,Bluff,2206939,NZ,-46.6,168.33,1579585143,60.27800000000006,60.27800000000006,288.86,100,76,1.6
141,Sisimiut,3419842,GL,66.94,-53.67,1579585120,5.486000000000068,5.486000000000068,258.42,100,76,1.48
142,Suba,1685615,PH,10.84,121.01,1579585081,79.91600000000001,79.91600000000001,299.77,3,72,13.1
143,Bunbury,2075432,AU,-33.33,115.63,1579585380,80.18600000000006,84.99199999999999,295.93,74,21,10.1
144,Barrow,5880054,US,71.29,-156.79,1579585190,-2.199999999999953,-2.199999999999953,254.15,90,77,5.1
145,Ziyang,1790863,CN,29.25,117.85,1579585381,55.16600000000001,55.16600000000001,286.02,74,68,1.81
146,Beysehir,321191,TR,37.68,31.72,1579585381,23.9,23.9,268.65,100,86,10.98
147,Trelew,3833883,AR,-43.25,-65.31,1579585381,64.43600000000006,64.43600000000006,291.17,10,41,4.25
148,Tucupita,3625929,VE,9.06,-62.05,1579585382,69.94400000000007,69.94400000000007,294.23,97,99,1.12
149,Bilma,2446796,NE,18.69,12.92,1579585382,54.87800000000007,54.87800000000007,285.86,0,28,5.25
150,Vardo,777019,NO,70.37,31.11,1579585362,34.50200000000008,34.50200000000008,274.54,83,66,10.73
151,Geraldton,2070998,AU,-28.77,114.6,1579585232,78.80000000000001,78.80000000000001,299.15,20,54,13.4
152,Santa Isabel do Rio Negro,3662489,BR,-0.41,-65.02,1579585383,73.92200000000004,73.92200000000004,296.44,54,89,0.86
153,Half Moon Bay,5354943,US,37.46,-122.43,1579585383,48.41600000000001,53.00600000000003,279.82,75,87,3.1
154,Fort Nelson,5955902,CA,58.81,-122.7,1579585201,-0.39999999999994884,-0.39999999999994884,255.15,90,84,1.74
155,Kamensk-Ural'skiy,1504826,RU,56.42,61.93,1579585341,0.17600000000003746,0.17600000000003746,255.47,100,98,1.8
156,Sao Filipe,3374210,CV,14.9,-24.5,1579585329,69.15200000000007,69.15200000000007,293.79,57,73,2.67
157,Horasan,745527,TR,40.05,42.17,1579585384,18.57200000000004,18.57200000000004,265.69,13,75,0.39
158,Yeniseysk,1485997,RU,58.45,92.17,1579585108,-0.2379999999999427,-0.2379999999999427,255.24,100,89,4.99
159,Rio Gallegos,3838859,AR,-51.62,-69.22,1579585385,55.400000000000006,55.400000000000006,286.15,55,76,3.6
160,Padang,1633419,ID,-0.95,100.35,1579585385,85.06400000000004,85.06400000000004,302.63,80,59,0.76
161,Cabo San Lucas,3985710,MX,22.89,-109.91,1579585282,63.5,66.2,288.71,5,77,1.5
162,Edd,338345,ER,13.93,41.69,1579585386,75.97400000000002,75.97400000000002,297.58,47,71,0.32
163,Seoul,1835848,KR,37.57,126.98,1579585386,37.61600000000001,39.2,275.15,1,32,0.14
164,Asau,686090,RO,46.43,26.4,1579585386,26.81600000000001,28.004000000000055,269.26,99,79,2.6
165,Cherskiy,2126199,RU,68.75,161.3,1579585161,-23.655999999999977,-23.655999999999977,242.23,100,98,2.91
166,Popondetta,2088163,PG,-8.75,148.25,1579585386,82.27400000000002,82.27400000000002,301.08,52,75,2.24
167,Laguna,5364271,US,38.42,-121.42,1579585387,46.88600000000007,48.992,280.15,75,81,1.69
168,Bethel,5282297,US,41.37,-73.41,1579585387,16.538000000000046,23.0,260.93,5,72,2.46
